Year,Epi_Week,LGA,Cholera_Cases,Cholera_Deaths,Rainfall_mm,Temperature_C,Humidity_pct,Toilet_Access_pct,Open_Defecation_pct,Health_Facilities,Population,Environmental_Risk
2023,1,Bauchi,12,1,18,28.1,48,62,28,9,320000,Low
2023,2,Bauchi,15,1,22,29.0,51,62,28,9,320000,Low
2023,3,Bauchi,21,2,31,29.4,55,62,28,9,320000,Medium
2023,4,Bauchi,28,2,45,28.7,61,62,28,9,320000,Medium
2023,5,Bauchi,35,3,67,27.9,68,62,28,9,320000,High
2023,6,Bauchi,41,3,82,27.4,72,62,28,9,320000,High
2023,7,Bauchi,38,2,76,27.8,70,62,28,9,320000,High
2023,8,Bauchi,30,2,58,28.2,65,62,28,9,320000,Medium
2023,9,Bauchi,24,1,42,28.6,59,62,28,9,320000,Medium
2023,10,Bauchi,17,1,27,29.1,53,62,28,9,320000,Low
2023,11,Bauchi,11,0,15,29.6,47,62,28,9,320000,Low
2023,12,Bauchi,9,0,11,30.0,44,62,28,9,320000,Low
2023,13,Gamawa,18,1,35,30.1,50,48,46,5,210000,Medium
2023,14,Gamawa,25,2,51,29.2,58,48,46,5,210000,High
2023,15,Gamawa,31,2,73,28.5,66,48,46,5,210000,High
2023,16,Gamawa,22,1,49,29.0,59,48,46,5,210000,Medium
2023,17,Gamawa,14,1,28,30.0,51,48,46,5,210000,Low
2023,18,Ganjuwa,10,0,19,28.8,49,70,20,7,180000,Low
2023,19,Ganjuwa,16,1,33,28.1,56,70,20,7,180000,Medium
2023,20,Ganjuwa,23,1,55,27.6,63,70,20,7,180000,Medium
2023,21,Ganjuwa,29,2,79,27.1,71,70,20,7,180000,High
2023,22,Ganjuwa,20,1,52,27.8,64,70,20,7,180000,Medium
2023,23,Ganjuwa,12,0,25,28.7,52,70,20,7,180000,Low
